work_section,description,unit,rate_low_aed,rate_mid_aed,rate_high_aed,source,notes
Demolition,"Soft strip — carpets, fixtures, fittings removal (no structural)",m2,25,40,60,"ServiceMarket Dubai renovation guide; public Dubai contractor advertised rates 2024-25","Includes bagging and removal to skip; excludes skip hire."
Demolition,"Internal partition demolition (gypsum or 100mm block)",m2,80,120,180,"BRKZ marketplace; JLL UAE Cost Guide bands","Excludes structural walls. Heavy-end if asbestos/dust mitigation required."
Demolition,"Floor tile removal — intact substrate",m2,35,55,85,"Public Dubai contractor advertised rates 2024-25","High-end if substrate damaged and requires patching."
Demolition,"Wall tile removal — bathroom",m2,45,70,110,"Public Dubai contractor advertised rates 2024-25","Includes tile and adhesive; excludes plaster make-good."
Demolition,"Concrete chase cutting for new electrical or plumbing",lm,40,65,100,"BRKZ; Dubai contractor benchmarks","Per linear metre; double if wet area waterproofing affected."
Blockwork,"100mm internal block partition — supply and fix",m2,95,130,170,"BRKZ; JLL UAE Cost Guide bands","Excludes plaster. Hollow block standard."
Blockwork,"200mm internal block partition — supply and fix",m2,130,180,240,"BRKZ; JLL UAE Cost Guide bands","Excludes plaster."
Blockwork,"Gypsum partition (single-sided, 75mm frame, fibreglass insulation)",m2,110,150,200,"AECOM ME Handbook; BRKZ","Includes one face board; double for both faces."
Plaster,"Internal cement plaster, 10-15mm one coat",m2,30,45,65,"JLL UAE Cost Guide; T&T ICMS UAE","Standard sand/cement mix."
Plaster,"Internal skim or smoothing coat",m2,25,35,50,"BRKZ; Dubai contractor benchmarks","Over existing plaster; preparation only."
Plaster,"Make-good plaster repairs",per location,80,150,300,"Public Dubai contractor advertised rates 2024-25","Patch repairs after demolition; varies with size of patch."
Floor Finishes,"Floor screed 50mm",m2,40,60,85,"AECOM ME Handbook; BRKZ","Levelling screed before tile or wood. Add waterproofing for wet areas."
Floor Finishes,"Porcelain floor tiling — labour only",m2,45,70,95,"BRKZ; ServiceMarket guide","Tile material excluded. Large-format tiles at high end."
Floor Finishes,"Engineered wood flooring — installation labour only",m2,55,90,140,"Public Dubai contractor advertised rates 2024-25","Click-lock at low end; glue-down at high end. Excludes underlay."
Floor Finishes,"Skirting installation (MDF or wood)",lm,30,55,90,"BRKZ; Dubai joinery contractor benchmarks","Painted MDF at low end; solid wood with stain at high end."
Wall Finishes,"Ceramic or porcelain wall tiling — bathroom, labour only",m2,55,85,120,"BRKZ; ServiceMarket guide","Material excluded. Small mosaic at high end."
Wall Finishes,"Decorative wall panelling — labour only",m2,120,200,350,"Public Dubai joinery contractor benchmarks","Wood/MDF panel system; excludes panel material."
Wall Finishes,"Mirror or feature glass install",m2,180,350,700,"Public Dubai contractor advertised rates 2024-25","Includes brackets; excludes mirror material. High end for back-painted glass."
Decoration & Painting,"Internal painting — 2 coats over prepared surface",m2,18,30,45,"JLL UAE Cost Guide; ServiceMarket guide","Standard emulsion. Premium paint adds 30-50%."
Decoration & Painting,"Wallpaper installation — labour only",m2,35,65,110,"Public Dubai contractor advertised rates 2024-25","Excludes wallpaper material."
Decoration & Painting,"Specialist finish — Venetian plaster, limewash, microcement",m2,90,180,320,"Public Dubai contractor advertised rates 2024-25","Labour only; specialist applicator required at high end."
Joinery & Carpentry,"Built-in wardrobe — mid-range MDF with lacquer or melamine",lm,1200,1800,2800,"BRKZ; ServiceMarket guide; Dubai joinery contractor benchmarks","Per linear metre of wardrobe wall, full height. Hinged doors. Includes basic interior fit-out."
Joinery & Carpentry,"Vanity cabinet with quartz top — bathroom",per unit,4500,7000,12000,"BRKZ; ServiceMarket guide","Single basin standard. Double basin or imported stone at high end."
Joinery & Carpentry,"Flush internal door — supply and fit",per door,1400,2400,4000,"BRKZ; Hafele UAE published rates","Standard 2.1m height with frame, ironmongery."
Joinery & Carpentry,"Solid wood door — supply and fit",per door,3500,6000,12000,"Public Dubai joinery contractor benchmarks","Oak, walnut, or teak. Mid-range is engineered solid; high end is full timber."
Joinery & Carpentry,"Wardrobe sliding doors (mirror or matte panels)",lm,1500,2800,5500,"Public Dubai joinery contractor benchmarks","Per linear metre. Mirror at low end; lacquer or veneer at high end."
Joinery & Carpentry,"TV unit / media wall (built-in)",per unit,8000,15000,28000,"Public Dubai joinery contractor benchmarks","Linear ~3m typical. Mid-range MDF; high end with stone or wood feature."
Sanitaryware,"WC suite supply and install — mid-range",per item,1400,2400,5500,"Danube Home / Geberit / Roca UAE published prices + install","Wall-hung adds AED 800-1500. Excludes concealed cistern and frame."
Sanitaryware,"Wash basin with mixer — supply and install",per item,900,1800,4500,"Danube Home / Roca / Hansgrohe UAE published prices + install","Counter-top basin at low end; vessel basin and premium mixer at high end."
Sanitaryware,"Shower system — mixer, handset, rain head",per set,1500,3500,9000,"Hansgrohe / Grohe / Roca UAE published prices + install","Concealed valve at high end requires wall preparation."
Sanitaryware,"Bathtub — supply and install",per item,2500,5500,15000,"Danube Home; Hafele UAE","Acrylic standard; freestanding stone or copper at high end."
Electrical,"Full rewire — residential",m2,180,280,400,"BRKZ; T&T ICMS UAE; Dubai contractor benchmarks","Includes consumer unit upgrade for high end. DEWA inspection fee separate."
Electrical,"Light point — supply and install",per point,95,150,260,"BRKZ; Dubai contractor benchmarks","Point only; fitting separate."
Electrical,"Power socket or switch — supply and install",per point,90,140,220,"BRKZ; Schneider / Legrand UAE published rates + install","Single-gang standard; smart at high end."
Electrical,"LED downlight — supply and install",per fitting,110,180,300,"BRKZ; Lighting Cluster UAE published rates","Standard 7W at low end; dim-to-warm or trimless at high end."
Plumbing,"Bathroom plumbing rewire — per bathroom, full",per bathroom,4500,7500,13000,"BRKZ; ServiceMarket guide","Includes new pipe runs, traps, valves. Excludes sanitaryware."
Plumbing,"Concealed water heater — supply and install",per unit,1500,2800,5000,"Ariston / Bosch UAE published prices + install","Standard 50L at low end; instant electric at high end."
Plumbing,"Floor drain — supply and install",per item,350,650,1200,"BRKZ; Geberit UAE published rates","Linear drain at high end."
MEP / HVAC,"Split AC unit (1.5-2.5 ton) — supply and install",per unit,3500,5500,8500,"O General / SKM / LG UAE published prices + install","Inverter standard. High end for premium brand or larger capacity."
MEP / HVAC,"Concealed ducted AC FCU replacement",per zone,8000,14000,22000,"SKM / Trane UAE published rates","Replacement only; new ductwork separate."
MEP / HVAC,"AC servicing and cleaning",per unit,200,350,600,"ServiceMarket pricing","Per visit. Deep clean at high end."
