ID,SKU,Brand,Category,Subcategory,Description_en,Description_ar,Unit,Price_aed,Vendor,Source_url,Photo_url,Lead_time_days,in_stock,Last_verified
1,RAK-MRB-MAXIMUSC-60X60,RAK Ceramics,Tiles,Marble Effect Porcelain,"Maximus Classic marble-effect porcelain floor & wall tile, Polished, 60x60 cm",بلاط بورسلين بتأثير الرخام Maximus Classic، Polished، 60x60 سم,sqm,120,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-maximus-classic-maximus-classic.html,,5,TRUE,2026-04-28
2,RAK-MRB-MAXIMUSC-60X120,RAK Ceramics,Tiles,Marble Effect Porcelain,"Maximus Classic marble-effect porcelain floor & wall tile, Polished, 60x120 cm",بلاط بورسلين بتأثير الرخام Maximus Classic، Polished، 60x120 سم,sqm,137,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-maximus-classic-maximus-classic.html,,5,TRUE,2026-04-28
3,RAK-MRB-MAXIMUSC-80X80,RAK Ceramics,Tiles,Marble Effect Porcelain,"Maximus Classic marble-effect porcelain floor & wall tile, Polished, 80x80 cm",بلاط بورسلين بتأثير الرخام Maximus Classic، Polished، 80x80 سم,sqm,151,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-maximus-classic-maximus-classic.html,,5,TRUE,2026-04-28
4,RAK-MRB-MAXIMUSM-60X60,RAK Ceramics,Tiles,Marble Effect Porcelain,"Maximus Macubas marble-effect porcelain floor & wall tile, Polished, 60x60 cm",بلاط بورسلين بتأثير الرخام Maximus Macubas، Polished، 60x60 سم,sqm,97,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-maximus-macubas-maximus-macubas.html,,5,TRUE,2026-04-28
5,RAK-MRB-MAXIMUSM-60X120,RAK Ceramics,Tiles,Marble Effect Porcelain,"Maximus Macubas marble-effect porcelain floor & wall tile, Polished, 60x120 cm",بلاط بورسلين بتأثير الرخام Maximus Macubas، Polished، 60x120 سم,sqm,145,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-maximus-macubas-maximus-macubas.html,,5,TRUE,2026-04-28
6,RAK-MRB-MAXIMUSM-80X80,RAK Ceramics,Tiles,Marble Effect Porcelain,"Maximus Macubas marble-effect porcelain floor & wall tile, Polished, 80x80 cm",بلاط بورسلين بتأثير الرخام Maximus Macubas، Polished، 80x80 سم,sqm,164,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-maximus-macubas-maximus-macubas.html,,5,TRUE,2026-04-28
7,RAK-MRB-VERSILIA-60X60,RAK Ceramics,Tiles,Marble Effect Porcelain,"Versilia Marble marble-effect porcelain floor & wall tile, Polished, 60x60 cm",بلاط بورسلين بتأثير الرخام Versilia Marble، Polished، 60x60 سم,sqm,88,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-versilia-marble-versilia-marble.html,,5,TRUE,2026-04-28
8,RAK-MRB-VERSILIA-60X120,RAK Ceramics,Tiles,Marble Effect Porcelain,"Versilia Marble marble-effect porcelain floor & wall tile, Polished, 60x120 cm",بلاط بورسلين بتأثير الرخام Versilia Marble، Polished، 60x120 سم,sqm,136,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-versilia-marble-versilia-marble.html,,5,TRUE,2026-04-28
9,RAK-MRB-VERSILIA-80X80,RAK Ceramics,Tiles,Marble Effect Porcelain,"Versilia Marble marble-effect porcelain floor & wall tile, Polished, 80x80 cm",بلاط بورسلين بتأثير الرخام Versilia Marble، Polished، 80x80 سم,sqm,184,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-versilia-marble-versilia-marble.html,,5,TRUE,2026-04-28
10,RAK-MRB-SILKMARB-60X60,RAK Ceramics,Tiles,Marble Effect Porcelain,"Silk Marble marble-effect porcelain floor & wall tile, Polished, 60x60 cm",بلاط بورسلين بتأثير الرخام Silk Marble، Polished، 60x60 سم,sqm,85,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-silk-marble-silk-marble.html,,5,TRUE,2026-04-28
11,RAK-MRB-SILKMARB-60X120,RAK Ceramics,Tiles,Marble Effect Porcelain,"Silk Marble marble-effect porcelain floor & wall tile, Polished, 60x120 cm",بلاط بورسلين بتأثير الرخام Silk Marble، Polished، 60x120 سم,sqm,167,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-silk-marble-silk-marble.html,,5,TRUE,2026-04-28
12,RAK-MRB-SILKMARB-80X80,RAK Ceramics,Tiles,Marble Effect Porcelain,"Silk Marble marble-effect porcelain floor & wall tile, Polished, 80x80 cm",بلاط بورسلين بتأثير الرخام Silk Marble، Polished، 80x80 سم,sqm,177,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-silk-marble-silk-marble.html,,5,TRUE,2026-04-28
13,RAK-MRB-RAINMARB-60X60,RAK Ceramics,Tiles,Marble Effect Porcelain,"Rain Marble marble-effect porcelain floor & wall tile, Polished, 60x60 cm",بلاط بورسلين بتأثير الرخام Rain Marble، Polished، 60x60 سم,sqm,82,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-rain-marble-rain-marble.html,,5,TRUE,2026-04-28
14,RAK-MRB-RAINMARB-60X120,RAK Ceramics,Tiles,Marble Effect Porcelain,"Rain Marble marble-effect porcelain floor & wall tile, Polished, 60x120 cm",بلاط بورسلين بتأثير الرخام Rain Marble، Polished، 60x120 سم,sqm,131,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-rain-marble-rain-marble.html,,5,TRUE,2026-04-28
15,RAK-MRB-RAINMARB-80X80,RAK Ceramics,Tiles,Marble Effect Porcelain,"Rain Marble marble-effect porcelain floor & wall tile, Polished, 80x80 cm",بلاط بورسلين بتأثير الرخام Rain Marble، Polished، 80x80 سم,sqm,155,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-rain-marble-rain-marble.html,,5,TRUE,2026-04-28
16,RAK-MRB-TECHMARB-60X60,RAK Ceramics,Tiles,Marble Effect Porcelain,"Tech Marble marble-effect porcelain floor & wall tile, Polished, 60x60 cm",بلاط بورسلين بتأثير الرخام Tech Marble، Polished، 60x60 سم,sqm,93,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-tech-marble-tech-marble.html,,5,TRUE,2026-04-28
17,RAK-MRB-TECHMARB-60X120,RAK Ceramics,Tiles,Marble Effect Porcelain,"Tech Marble marble-effect porcelain floor & wall tile, Polished, 60x120 cm",بلاط بورسلين بتأثير الرخام Tech Marble، Polished، 60x120 سم,sqm,144,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-tech-marble-tech-marble.html,,5,TRUE,2026-04-28
18,RAK-MRB-TECHMARB-80X80,RAK Ceramics,Tiles,Marble Effect Porcelain,"Tech Marble marble-effect porcelain floor & wall tile, Polished, 80x80 cm",بلاط بورسلين بتأثير الرخام Tech Marble، Polished، 80x80 سم,sqm,182,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-tech-marble-tech-marble.html,,5,TRUE,2026-04-28
19,RAK-MRB-DARKINK-60X60,RAK Ceramics,Tiles,Marble Effect Porcelain,"Dark Ink Marble Effect marble-effect porcelain floor & wall tile, Polished, 60x60 cm",بلاط بورسلين بتأثير الرخام Dark Ink Marble Effect، Polished، 60x60 سم,sqm,118,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-dark-ink-dark-ink.html,,5,TRUE,2026-04-28
20,RAK-MRB-DARKINK-60X120,RAK Ceramics,Tiles,Marble Effect Porcelain,"Dark Ink Marble Effect marble-effect porcelain floor & wall tile, Polished, 60x120 cm",بلاط بورسلين بتأثير الرخام Dark Ink Marble Effect، Polished، 60x120 سم,sqm,131,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-dark-ink-dark-ink.html,,5,TRUE,2026-04-28
21,RAK-MRB-DARKINK-80X80,RAK Ceramics,Tiles,Marble Effect Porcelain,"Dark Ink Marble Effect marble-effect porcelain floor & wall tile, Polished, 80x80 cm",بلاط بورسلين بتأثير الرخام Dark Ink Marble Effect، Polished، 80x80 سم,sqm,185,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-dark-ink-dark-ink.html,,5,TRUE,2026-04-28
22,RAK-MRB-AMANIMAR-60X60,RAK Ceramics,Tiles,Marble Effect Porcelain,"Amani Marble marble-effect porcelain floor & wall tile, Polished, 60x60 cm",بلاط بورسلين بتأثير الرخام Amani Marble، Polished، 60x60 سم,sqm,92,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-amani-marble-amani-marble.html,,5,TRUE,2026-04-28
23,RAK-MRB-AMANIMAR-60X120,RAK Ceramics,Tiles,Marble Effect Porcelain,"Amani Marble marble-effect porcelain floor & wall tile, Polished, 60x120 cm",بلاط بورسلين بتأثير الرخام Amani Marble، Polished، 60x120 سم,sqm,164,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-amani-marble-amani-marble.html,,5,TRUE,2026-04-28
24,RAK-MRB-AMANIMAR-80X80,RAK Ceramics,Tiles,Marble Effect Porcelain,"Amani Marble marble-effect porcelain floor & wall tile, Polished, 80x80 cm",بلاط بورسلين بتأثير الرخام Amani Marble، Polished، 80x80 سم,sqm,176,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-amani-marble-amani-marble.html,,5,TRUE,2026-04-28
25,RAK-MRB-PALISSAN-60X60,RAK Ceramics,Tiles,Marble Effect Porcelain,"Palissandro Marble Effect marble-effect porcelain floor & wall tile, Polished, 60x60 cm",بلاط بورسلين بتأثير الرخام Palissandro Marble Effect، Polished، 60x60 سم,sqm,94,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-palissandro-palissandro.html,,5,TRUE,2026-04-28
26,RAK-MRB-PALISSAN-60X120,RAK Ceramics,Tiles,Marble Effect Porcelain,"Palissandro Marble Effect marble-effect porcelain floor & wall tile, Polished, 60x120 cm",بلاط بورسلين بتأثير الرخام Palissandro Marble Effect، Polished، 60x120 سم,sqm,158,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-palissandro-palissandro.html,,5,TRUE,2026-04-28
27,RAK-MRB-PALISSAN-80X80,RAK Ceramics,Tiles,Marble Effect Porcelain,"Palissandro Marble Effect marble-effect porcelain floor & wall tile, Polished, 80x80 cm",بلاط بورسلين بتأثير الرخام Palissandro Marble Effect، Polished، 80x80 سم,sqm,187,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-palissandro-palissandro.html,,5,TRUE,2026-04-28
28,RAK-MRB-CALACATT-60X60,RAK Ceramics,Tiles,Marble Effect Porcelain,"Calacatta Imperiale Hyper White marble-effect porcelain floor & wall tile, Polished, 60x60 cm",بلاط بورسلين بتأثير الرخام Calacatta Imperiale Hyper White، Polished، 60x60 سم,sqm,97,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-calacatta-imperiale-hyper-white-calacatta-imperiale-hyper-white.html,,5,TRUE,2026-04-28
29,RAK-MRB-CALACATT-60X120,RAK Ceramics,Tiles,Marble Effect Porcelain,"Calacatta Imperiale Hyper White marble-effect porcelain floor & wall tile, Polished, 60x120 cm",بلاط بورسلين بتأثير الرخام Calacatta Imperiale Hyper White، Polished، 60x120 سم,sqm,130,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-calacatta-imperiale-hyper-white-calacatta-imperiale-hyper-white.html,,5,TRUE,2026-04-28
30,RAK-MRB-CALACATT-80X80,RAK Ceramics,Tiles,Marble Effect Porcelain,"Calacatta Imperiale Hyper White marble-effect porcelain floor & wall tile, Polished, 80x80 cm",بلاط بورسلين بتأثير الرخام Calacatta Imperiale Hyper White، Polished، 80x80 سم,sqm,160,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/marble-effect-calacatta-imperiale-hyper-white-calacatta-imperiale-hyper-white.html,,5,TRUE,2026-04-28
31,RAK-CON-ENDORA-60X60,RAK Ceramics,Tiles,Concrete Effect,Endora concrete effect tile 60x60 cm,بلاط Endora بتأثير الخرسانة 60x60 سم,sqm,87,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/endora.html,,5,TRUE,2026-04-28
32,RAK-CON-ENDORA-60X120,RAK Ceramics,Tiles,Concrete Effect,Endora concrete effect tile 60x120 cm,بلاط Endora بتأثير الخرسانة 60x120 سم,sqm,113,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/endora.html,,5,TRUE,2026-04-28
33,RAK-CON-ENDORA-30X60,RAK Ceramics,Tiles,Concrete Effect,Endora concrete effect tile 30x60 cm,بلاط Endora بتأثير الخرسانة 30x60 سم,sqm,55,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/endora.html,,5,TRUE,2026-04-28
34,RAK-CON-ENDLESS-60X60,RAK Ceramics,Tiles,Concrete Effect,Endless concrete effect tile 60x60 cm,بلاط Endless بتأثير الخرسانة 60x60 سم,sqm,73,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/endless.html,,5,TRUE,2026-04-28
35,RAK-CON-ENDLESS-60X120,RAK Ceramics,Tiles,Concrete Effect,Endless concrete effect tile 60x120 cm,بلاط Endless بتأثير الخرسانة 60x120 سم,sqm,104,RAK Ceramics,https://onlineshop.rakceramics.com/ae_en/endless.html,,5,TRUE,2026-04-28
